content,type
"最近，我因為急需資金償還家裡的債務，心裡一直在煩惱。某天在滑Facebook時，看到一個名為「數位速e貸」的廣告，標榜貸款快速、利息低且手續簡單，這正是我的救星啊！馬上點進廣告並加入了一個LINE帳號，名字顯示是「台北富邦銀行信貸」。
聯繫上對方後，他詢問是否曾被列「警示帳戶」，才要求我填寫貸款申請資料。當我提出貸款30萬元的需求後，「台北富邦銀行信貸」很快回覆申請進度已經通過初審，但需要購買一份金融貸款保險，才能提高信用評分。對方解釋，這是為了保障貸款人無力還款時，銀行還能如期回收貸款，聽起來似乎很合理。
為了盡快拿到款項，我照「台北富邦銀行信貸」的要求，先匯了1萬5千元到指定的帳戶。然而，匯款後，對方又表示我的信用分數還需要再補足，建議我購買點數以增加信貸評分。我雖然感到有些疑惑，但一心想解決資金問題，還是到超商購買了多次點數卡並提供給對方。
就在一切看似快完成時，我突然發現自己的網路銀行帳戶無法使用，這才開始擔心起來。我嘗試聯繫「台北富邦銀行信貸」，但不論是LINE還是電話，都再也聯絡不上。我趕緊致電銀行客服查詢帳戶狀況，才得知我的帳戶已經被列入警示名單，並確認這根本不是台北富邦銀行的業務。當下我驚覺：自己掉進了一個精心設計的貸款詐騙陷阱！",假借銀行貸款詐騙
"國內近期有多家大型醫療院所遭駭客攻擊，造成院方電腦系統癱瘓、病患個資遭竊外洩，衛福部介入調查後確定為駭客組織系統性攻擊，制定全國醫院資安SOP。不過，日前發現有不法份子於網路公開販售某醫院上千萬筆患者個資，開價10萬美元。
165反詐騙諮詢專線日前亦接獲民眾小劉諮詢檢舉，稱接獲假冒馬偕醫院人員電話，對方佯稱有人持小劉證件代領管制藥品，需要與證件本人核實身分，當小劉否認有委託代領藥品一事，假冒醫院人員隨即告知事態嚴重，將由檢警接手。
正當小劉仍一頭霧水時，隨即有假冒警察、假冒檢察官接連來電，羅織罪名後藉口「涉入詐欺案件，須配合調查。」等理由，要求小劉交付金融卡與帳戶資料給假檢警監管，並假意承諾案件偵查結束後即會返還。
小劉絲毫不理會電話另一端口沫橫飛地講述詐騙劇本內容，未掉入詐騙集團的陷阱，事後立即通報165檢舉，希望提醒更多民眾不要受騙。
不只台灣有醫院遭駭，日本最近也傳出有醫院遭受駭客攻擊，研判各醫療院所都可能成為不法駭客組織的攻擊對象。對此，除了衛福部強化醫院資安防護措施，警方呼籲民眾，若有接獲陌生來電、訊息要求匯款或點擊不明連結，請提高警覺，切勿上當受騙。",假檢警詐騙
"我是一個就讀大學三年級的學生，因為這學期運氣不好沒有抽中學校的宿舍，只好趕快透過各種租屋平台來找尋合適的租房，終於皇天不負苦心人，我在Facebook的【○○大學租屋版】社團看到房東【Joyce】PO出的出租訊息，照片中的房間屋況良好，而且周遭生活機能便利，除了租金佛心外還能申請租屋補助，讓我一看就心動不已。
於是我迫不及待加了房東的LINE好友，房東【Joyce】說我是排在第5組看房，如果前4組有人簽約就會通知我取消，不過目前第2組客人打算預付訂金來優先看屋。哎！好房子果然搶手，沒租到我一定後悔…，既然有捷徑可得好好把握。
於是我立馬傳訊房東爭取搶先看屋，【Joyce】表示因第2組客人還沒匯款，如果我能比他更早預付訂金就可以排在第一順位，看房當天若有成交，訂金會轉成押金，不然會全額退還。為了順利租下這間房我立刻匯了租金加訂金共3萬元給房東。
沒多久，房東竟跟我說她丈夫不小心也收了其他客人的訂金，請我先匯款給那位客人退還訂金以保留我的優先權，這不禁讓我開始心生懷疑。最終，在我提出退費的要求後，房東消失的無影無蹤，我才知道原來這只是一場精心設計的圈套。",假廣告詐騙
"上週我查閱E-mail，信件匣內有一封信，主旨是逾期罰單通知，發件人「guy.toelen1@telenet.be」，信件內容看起來像是監理站的通知，載明我有一張罰單未繳，行句間強調如果不立即處理，後續會衍伸許多不必要的法律問題。信裡附了一個看似官方的網址「www.kvrplmj.cc」，說只要點進去就能快速繳費。我一看這麼方便，心想既然是監理站通知信件，應該是可信的，於是直接依照指示進入網站，輸入信用卡資料完成「繳款」。
沒想到幾分鐘後，網站顯示「繳款失敗，請稍後重試」。當時我沒太在意，心想可能是網路問題，也就沒繼續操作了。想不到，隔天查閱信用卡帳單，居然發現被莫名扣了一筆3萬多元的款項和489元手續費！心裡一沉，我才驚覺可能是被騙了。
為此，我趕緊去報警，並進一步了解這種手法，發現這是詐騙集團精心設計的陷阱。他們用假冒監理站的名義，讓人降低戒心，利用「逾期罰單」的恐懼心理來騙取我的信用卡資料。",釣魚簡訊(惡意連結)詐騙
"我在一個交友網站（網址：https://app.scysdjmv.cc/h5/#） 認識了一位自稱小婷的女生。她的照片令人心動，聊天內容相當露骨，她暗示可以與我見面「深入了解」，與我交換了 LINE 資訊。
小婷提議可以先「試車」，不過，為了確認我不是警察，並且遵守公司規定，她的經理要求我先支付一筆保證金，讓我有些猶豫，但她不斷安撫我，說這是為了我們彼此的安全。想想也合情合理，對方畢竟是偏門生意，如果能真的約到她，這筆錢也算值得。
在她的指引下，我購買了 APP Store 的遊戲點數卡，按照要求拍下卡片的照片並傳給她。沒多久，我接到一位「客服人員」的訊息，對方告訴我，由於系統操作錯誤，必須繼續購買更多點數來完成身份驗證。此時的小婷也在一旁附和，說只差一步就能解決問題。
為了達成這次見面，我一次又一次地前往便利商店購買點數，將照片傳給客服，每次都被告知還差一點就能完成手續。然而，隨著金額越來越高，我開始覺得事情不對勁。當我表示無法再支付時，「客服」竟改口威脅說，如果不繼續操作，保證金全數沒收，甚至有兄弟來找我算帳。
那一刻，我的理智才重新上線，冷靜下來後撥打了165反詐騙專線，詳細描述了整個過程。經警方提醒，真的是一場設計精密的騙局。最終，我損失了新台幣 27萬元，而那場期待的見面，永遠不可能實現。",色情應召詐財詐騙
"我在《熱血江湖》遊戲打到了一件相當稀有罕見的寶物，在遊戲圈內吸引了不少玩家的注意，有一位遊戲暱稱「林北小舞」的好友私訊我，說他很想收購我的寶物。他表示寶物對他組裝裝備非常重要，願意以8,500元價格購入。因為之前我們曾組隊聊過好幾次，對方看起來不像騙子，我便答應出售寶物。
不過，對方說月底才領薪水，無法馬上付款，能否先交付寶物讓他提前增強裝備，等到月底領薪後再匯款。我心想，大家都是同一個遊戲公會的老玩家，有一定的信任基礎，沒多想就把寶物交給了他。
之後，我和「林北小舞」依舊每天在遊戲中互動，他誇讚我那件寶物幫了他大忙，讓他在遊戲中如虎添翼。然而，到了約定付款日期，我卻始終沒收到他的匯款消息。剛開始，我提醒他幾次，他總是各種理由推脫，要嘛薪水延遲發放、要嘛家裡臨時有急用，畢竟我們也算是朋友，就再寬限幾天吧。
有天，我發現他不再回我訊息，連遊戲角色也消失得無影無蹤，我這才驚覺，自己被騙了！",虛擬遊戲詐騙
"有一天，我正忙著做家務，突然接到一通電話。電話裡的人聲音急促，說是我的兒子。他說自己的手機掉了，現在用同事的電話聯繫我，並請我趕緊加他的LINE好友。
加上LINE後，兒子告訴我，同事今天請假，但要還他一筆錢，而這筆錢正是他要支付給廠商的款項，總共需要48萬元。他的語氣充滿焦急，讓我感到心疼。雖然我很想幫助他，但我的存款實在不足，經過思量後，我決定匯21萬元幫助他解決燃眉之急。
我趕到銀行，向行員說明了情況。行員態度很關切，詳細詢問了一些細節，並提醒我謹慎匯款。雖然我心裡有些猶豫，但想到兒子焦急的聲音，我還是決定相信他。行員勸說無果後，讓我完成了轉帳。
轉帳後，我稍微鬆了一口氣，然而內心仍有些不安。於是，我撥通了兒子的電話，卻始終無人接聽。不安的感覺越來越強烈，我強迫自己冷靜，繼續嘗試聯絡。幾分鐘後，他終於接通了電話。但當我提到剛才的事情時，他突然沉默了，接著告訴我，他從未向我借過錢！
這一刻，我才驚覺，電話中的「兒子」根本不是我的兒子。我心中湧起無法形容的恐懼與懊悔——我竟然這麼輕易就相信了詐騙者。",猜猜我是誰詐騙
"原本只是想增加外文對話能力，卻不小心誤入詐騙陷阱。某天，我按往例點開Tandem語言交換APP，想找人練練英文，點選美國地區找到了一位男子Gred Joerg，聊了幾次之後，雙方從原本的單純練習對話，逐漸增溫到朋友關係。
Gred Joerg自稱在中東杜拜有一個工程專案，需要預付當地法院核准費用，不過他的帳戶暫時無法使用，存款提領不出來，希望我能借錢幫他支付這筆費用，讓工程案得以繼續推動，日後才能拿到工程款。
我稍微考慮了一下，認為這也是一種投資，也就答允借貸請求，先轉了184萬到他指定帳戶，之後每隔一個月他就以不同理由借錢，我一共匯出近434萬元，期間他也有匯款還我160萬，讓人覺得Gred Joerg信用沒問題。當我再也拿不出錢來，他的態度開始變冷淡，訊息回得越來越慢，甚至還有幾天完全不讀不回。
也因為如此，當Gred Joerg告訴我因為他帳戶問題仍無法解決，建議改用虛擬幣方式匯款，我根本連懷疑的想法都沒有，二話不說就聽從他的指示，使用幣安 (Binance) 平台以泰達幣 (USDT) 匯款。
我陸續買了泰達幣(USDT)再轉到Gred Joerg指定的錢包地址，前後共18次，金額多達443萬元，當我最後一次將虛擬幣轉出去，手頭的717萬現金幾乎見底，我向Gred Joerg告知無法再借錢給他了，他因此將我封鎖，不再跟我聯絡，整個人如同從人間蒸發一樣「欸不是，你要先還我錢啊！」
無奈之下，只好這件事告訴家人，家人聽完整個事件過程，不忍責備我，只是淡淡地告訴我受騙的事實，並陪我到警局向警方報案。",假交友(徵婚詐財)詐騙
"某天滑著Instagram，突然滑到一則陌生帳號動態「醇韻溫存 盲盒抽獎活動！」，看起來像是精品咖啡杯的活動，文案寫道抽獎最高可得88,888元。我心想，這麼好的事情，何樂而不為？
我在抽獎動態底下留言後沒多久，該動態帳號( ncsadlas56a)私訊我一個連結 https://zjdsc.top，聲稱只要填寫基本資料，就能抽獎。跟著頁面欄位輸入了自己姓名、電話、電子郵件，點下「開始抽獎」按鈕，畫面居然跳出「恭喜！您獲得88,888元現金獎勵！」
當下腦筋一片空白，隨即從椅子上跳起來，真的走運了！IG隨即又收到另一則訊息，對方請我加入LINE客服(https://line.me/ti/p/jirx0NpVZj)，方便聯繫後續領獎事宜。
加入LINE客服後，對方先確認我的個人資料，接著告知由於我的帳戶沒開通第三方支付認證，需要手動驗證，確保獎金能順利入帳，我不疑有他跟著對方指令操作網路銀行，按照指示一步步點擊轉帳、輸入一組帳號，最後輸入臨時認證數字100050。
結果，對方稱我帳戶認證失敗，需要再操作一次，此時我才覺得不對勁，馬上查詢網銀交易紀錄，發現剛剛輸入的認證數字居然是轉帳金額100,050元！上網搜尋類似的抽獎活動，原來已經有不少人被類似的手法騙了，我氣得立刻封鎖對方，並報警處理。",假中獎通知詐騙
"國內近期有多家大型醫療院所遭駭客攻擊，造成院方電腦系統癱瘓、病患個資遭竊外洩，衛福部介入調查後確定為駭客組織系統性攻擊，制定全國醫院資安SOP。不過，日前發現有不法份子於網路公開販售某醫院上千萬筆患者個資，開價10萬美元。
165反詐騙諮詢專線日前亦接獲民眾小劉諮詢檢舉，稱接獲假冒馬偕醫院人員電話，對方佯稱有人持小劉證件代領管制藥品，需要與證件本人核實身分，當小劉否認有委託代領藥品一事，假冒醫院人員隨即告知事態嚴重，將由檢警接手。
正當小劉仍一頭霧水時，隨即有假冒警察、假冒檢察官接連來電，羅織罪名後藉口「涉入詐欺案件，須配合調查。」等理由，要求小劉交付金融卡與帳戶資料給假檢警監管，並假意承諾案件偵查結束後即會返還。
小劉絲毫不理會電話另一端口沫橫飛地講述詐騙劇本內容，未掉入詐騙集團的陷阱，事後立即通報165檢舉，希望提醒更多民眾不要受騙。
不只台灣有醫院遭駭，日本最近也傳出有醫院遭受駭客攻擊，研判各醫療院所都可能成為不法駭客組織的攻擊對象。對此，除了衛福部強化醫院資安防護措施，警方呼籲民眾，若有接獲陌生來電、訊息要求匯款或點擊不明連結，請提高警覺，切勿上當受騙。",假檢警詐騙
"某天，朋友介紹一位LINE貸款專員，對方叫 「借貸-劉專員」。我因為最近資金周轉不順，且銀行貸款條件高，我便與對方聯繫。
「借貸-劉專員」態度親切並強調：「我們這邊審核很快，無需繁瑣的程序，只要填寫資料就能馬上核貸！」我立刻點擊對方提供的網址，按照指示填寫個人資料，期望能順利貸到款項。
隔天， LINE名稱 「線上客服」 加我為好友，說要協助辦理貸款手續，我便依照對方要求填具資料。但是，過了幾個小時，「線上客服」突然告知：「你的審核有通過，但提供的帳戶異常，系統無法撥款！必須先去超商繳納驗證費用，才能完成貸款程序。」
我並未多想，畢竟貸款審核需要一些費用感覺很合理，於是便依照對方指示前往全家超商，透過代碼繳了23,000元，以為這樣就能順利拿到貸款。
沒想到，付款之後，「線上客服」開始變本加厲，又說：「系統仍然顯示錯誤，需要再繳一筆費用來解鎖帳戶。」這時我開始覺得不對勁，要求對方退款，但對方卻敷衍推託，甚至暗示如果不繳款，就無法解除貸款障礙。
我越想越奇怪，於是上網查詢類似案例，結果發現這就是典型的貸款詐騙手法！這才驚覺自己被騙，趕緊停止一切聯繫，並報警處理。
事後回想，新聞都有報，真正的銀行貸款不會要求先繳費，也不會透過 LINE或網頁辦理，這些都是詐騙集團的慣用伎倆。他們先用「快速放款」吸引被害人，再利用「驗證費」等理由一步步詐取金錢，直到被害人察覺異狀才會收手，我一時糊塗上當，實在後悔。",假借銀行貸款詐騙
